Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,sim.pins,sim.type
1,"Unpolarized capacitor, small symbol",C_Small,C4,100n,C_0805_2012Metric,1,~,,
2,"Unpolarized capacitor, small symbol",C_Small,C1C2C7C8,1u,C_0805_2012Metric,4,~,,
3,"Unpolarized capacitor, small symbol",C_Small,C5C6,10u,C_0805_2012Metric,2,~,,
4,Light emitting diode,LED,D1D2D3D4D5,LED,LED_1206_2,5,~,,
5,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J4,HEADER_2x03_PARALLEL,PinHeader_2x03_P2.54mm_Vertical,1,,,
6,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J3,HEADER_2x04_PARALLEL,PinHeader_2x04_P2.54mm_Vertical,1,,,
7,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J2,HEADER_2x05_PARALLEL,PinHeader_2x05_P2.54mm_Vertical,1,,,
8,"2x07 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x07_PARALLEL,J6,HEADER_2x07_PARALLEL,PinHeader_2x07_P2.54mm_Vertical,1,,,
9,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J1,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,,
10,"Jumper, 2-pole, open",Jumper_2_Open,JP1JP4,Jumper_2_Open,PinHeader_2x01_P2.54mm_Vertical,2,~,,
11,"Jumper, 3-pole, pins 1+2 closed/bridged",Jumper_3_Bridged12,JP3,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,1,~,,
12,"P-MOSFET transistor, drain/source/gate, 40V, 9A, 12mOhm",IRF7469PbF,Q2,IRF7469PbF,SOIC-8_3.9x4.9mm_P1.27mm,1,,1=D 2=G 3=S,VDMOS
13,"Resistor, small symbol",R_Small,R11,100R,R_0805_2012Metric,1,~,,
14,"Resistor, small symbol",R_Small,R8R9,1k,R_0805_2012Metric,2,~,,
15,"Resistor, small symbol",R_Small,R12,20k,R_0805_2012Metric,1,~,,
16,"Resistor, small symbol",R_Small,R1R2R10R22,100k,R_0805_2012Metric,4,~,,
17,"Resistor, small symbol",R_Small,R3R4R5R6R7R13R14R15R16R17R18R19R20R21,R,R_0805_2012Metric,14,~,,
18,"1A Low drop-out regulator, Fixed Output 3.3V, SOT-223",NCP1117-3.3_SOT223,U2,NCP1117-3.3,SOT-223-3_TabPin2,1,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,,
19,"Stand-alone USB PD controller (with sink Auto-run mode), QFN-24",STUSB4500QTR,U1,STUSB4500QTR,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,https://www.st.com/resource/en/datasheet/stusb4500.pdf,,
